place_id,external_id,author,rating,text,published_at
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_363314def067,Itai Gold,4,Solid bar with real personality. The porter is my regular order. Seating gets tight by 9pm.,2026-04-24T14:37:57.441702+00:00
sim_tap_room,tick_sim_tap_room_34854b3d1b4a,Barak Levi,3,"Good selection but pricey. You're paying for the curation, which is fair, but still.",2026-04-24T14:38:12.942215+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_722b435205cb,Ran Ofer,5,Outdoor seating on a warm evening with a cold craft lager. Tel Aviv at its finest.,2026-04-24T14:49:22.880130+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_9f864293f1b7,Ayelet Ron,4,Love the concept — always something on tap I haven't tried. Wish they did more food.,2026-04-24T14:49:22.880130+00:00
sim_beer_garden,tick_sim_beer_garden_e0c32e64db1d,Tal Weiss,5,The garden brunch is an institution. Go on a Sunday morning and thank me later.,2026-04-24T14:49:40.826895+00:00
sim_tap_room,tick_sim_tap_room_3a8bf4b3e037,Barak Levi,3,"Good selection but pricey. You're paying for the curation, which is fair, but still.",2026-04-24T14:49:55.468265+00:00
sim_tap_room,tick_sim_tap_room_c1ec92193efb,Limor Sela,4,Serious craft beer bar. The staff can talk for hours about beer styles. Very knowledgeable.,2026-04-24T14:49:55.468265+00:00
sim_tap_room,tick_sim_tap_room_f794edc9dd45,Omer Klein,3,"Amazing tap list, claustrophobic space. Hard to relax when you're shoulder to shoulder.",2026-04-24T14:49:55.468265+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_71059c61ff73,Liron Ben-Zvi,4,Industrial design and long bar are a vibe. Service is fast even when full.,2026-04-24T16:05:22.100950+00:00
sim_beer_garden,tick_sim_beer_garden_a77337768018,Ran Blum,2,"Expected more given the reputation. Noisy, cramped on the weekend, and the service was scattered.",2026-04-24T16:05:37.249832+00:00
sim_tap_room,tick_sim_tap_room_034e999da7c3,Orli Bar,5,Staff recommended a sour I would never have picked myself — it was outstanding. Real expertise here.,2026-04-24T16:05:51.187769+00:00
sim_tap_room,tick_sim_tap_room_224440adb6c5,Inbal Mor,5,"The rotating list keeps me coming back weekly. Never the same beer twice, always excellent.",2026-04-24T16:05:51.187769+00:00
sim_tap_room,tick_sim_tap_room_531b8ea74323,Tali Katz,4,Tiny bar but big on quality. Standing room only on Thursdays but worth the squeeze.,2026-04-24T16:05:51.187769+00:00
sim_tap_room,tick_sim_tap_room_c44a9e2261ba,Yaron Green,4,The flight of four is a great way to explore. Always discover something new here.,2026-04-24T16:05:51.187769+00:00
sim_lager_ale_tlv,tick_sim_lager_ale_tlv_946ebde8b979,Ayelet Ron,4,Love the concept — always something on tap I haven't tried. Wish they did more food.,2026-04-24T17:30:16.912469+00:00
